sygic_travel_id,rating            ,lat       ,lng       ,name                                             ,marker                                 ,perex                                                                                                                                         ,thumbnail_url                                           ,categories
poi:7543       ,0.18708264686918  ,55.2402582,-6.5122852,Giant's Causeway                                 ,hiking:monument                        ,"The Giant's Causeway is an area of about 40,000 interlocking basalt columns, the result of an ancient volcanic fissure eruption."            ,https://media-cdn.sygictraveldata.com/media/poi:7543    ,"hiking,sightseeing,discovering"
poi:36739      ,0.13004045677787  ,54.6081128,-5.9098558,Titanic Belfast                                  ,sightseeing:architecture:modern        ,"Titanic Belfast is a visitor attraction opened in 2012, a monument to Belfast's maritime heritage on the site of the former Harland & Wolff…",https://media-cdn.sygictraveldata.com/media/poi:36739   ,"sightseeing,discovering"
poi:36740      ,0.11262291289581  ,55.239575 ,-6.3325146,Carrick-a-rede Rope Bridge                       ,sightseeing:bridge                     ,"Carrick-a-Rede Rope Bridge is a famous rope bridge near Ballintoy in County Antrim, Northern Ireland."                                       ,https://media-cdn.sygictraveldata.com/media/poi:36740   ,"hiking,sightseeing"
poi:55993      ,0.10905485179421  ,55.1346987,-6.3815826,The Dark Hedges                                  ,hiking:viewpoint                       ,"Considered to be the most iconic natural phenomenon in Northern Ireland and a popular tourist spot, this scenic road lined by beech trees…"  ,https://media-cdn.sygictraveldata.com/media/poi:55993   ,"hiking,sightseeing"
poi:56018      ,0.096531331136783 ,54.5964319,-5.9299266,Belfast City Hall                                ,sightseeing:town_hall:city_hall        ,"Built in Baroque Revival style, this civic building features several statues, portraits and memorials worth seeing."                         ,https://media-cdn.sygictraveldata.com/media/poi:56018   ,sightseeing
poi:55150      ,0.077342102623725 ,55.2108535,-6.5793477,Dunluce Castle                                   ,sightseeing:castle                     ,"Dunluce Castle is a now-ruined medieval castle in Northern Ireland. It is located on the edge of a basalt outcropping in County Antrim, and…",https://media-cdn.sygictraveldata.com/media/poi:55150   ,"hiking,sightseeing"
poi:56022      ,0.061886800876539 ,54.599771 ,-5.945954 ,The International Wall                           ,sightseeing:art:mural                  ,"Murals in Northern Ireland have become symbols of Northern Ireland, depicting the region's past and present political and religious…"        ,https://media-cdn.sygictraveldata.com/media/poi:56022   ,"discovering,sightseeing"
poi:56020      ,0.057539476878826 ,54.5958515,-5.9220133,Saint George's Market                            ,shopping:centre:district               ,"St George's Market is the last surviving Victorian covered market in Belfast, Northern Ireland."                                             ,https://media-cdn.sygictraveldata.com/media/poi:56020   ,"eating,shopping,sightseeing"
poi:36750      ,0.056756358211777 ,54.6427748,-5.9421841,Belfast Castle                                   ,relaxing:park:garden                   ,"Recently renovated, this castle is a gem dominating the landscape. If not interested in monuments, come here at least for the great views."  ,https://media-cdn.sygictraveldata.com/media/poi:36750   ,"hiking,sightseeing,relaxing"
poi:47860      ,0.052717426954019 ,54.6027764,-5.9286418,Saint Anne's Cathedral                           ,other:place_of_worship:church:cathedral,"St Anne's Cathedral, also known as Belfast Cathedral, is a cathedral of the Church of Ireland in Donegall Street, Belfast, Northern Ireland.",https://media-cdn.sygictraveldata.com/media/poi:47860   ,sightseeing
poi:47856      ,0.048150801997549 ,54.6008536,-5.9243781,Albert Memorial Clock                            ,sightseeing:landmark                   ,"The Albert Memorial Clock is a clock tower situated at Queen's Square in Belfast, Northern Ireland."                                         ,https://media-cdn.sygictraveldata.com/media/poi:47856   ,sightseeing
poi:7587       ,0.042395245244799 ,54.6095319,-5.9421769,Crumlin Road Gaol                                ,other:building:convention_centre       ,"HMP Belfast, also known as Crumlin Road Gaol, is a former prison situated on the Crumlin Road in north Belfast, Northern Ireland."           ,https://media-cdn.sygictraveldata.com/media/poi:7587    ,"discovering,sightseeing"
poi:3977841    ,0.039904774762084 ,55.1677527,-6.8109594,Mussenden Temple                                 ,other:place_of_worship:temple          ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3977841 ,sightseeing
poi:56003      ,0.038760548934179 ,54.7997441,-5.8319369,Glenoe Waterfall                                 ,hiking:park:nature                     ,"Enjoy a walk up the narrow path and marvel at this charming waterfall with crystal clear water, situated in the hills just outside the…"     ,https://media-cdn.sygictraveldata.com/media/poi:56003   ,"hiking,sightseeing"
poi:64250      ,0.036519911080323 ,54.5922063,-5.9617411,Falls Road                                       ,sightseeing:art:artwork                ,"The Falls Road is the main road through west Belfast, Northern Ireland, running from Divis Street in Belfast city centre to Andersonstown…"  ,https://media-cdn.sygictraveldata.com/media/poi:64250   ,"discovering,sightseeing"
poi:55995      ,0.035073834432114 ,55.2017849,-6.5207306,Old Bushmills Distillery                         ,sightseeing:distillery                 ,"The Old Bushmills Distillery is a distillery in Bushmills, County Antrim, Northern Ireland."                                                 ,https://media-cdn.sygictraveldata.com/media/poi:55995   ,"eating,sightseeing"
poi:47858      ,0.028807102193011 ,54.5946685,-5.9341122,Crown Liquor Saloon                              ,going_out:bar                          ,"The Crown Liquor Saloon, also known as the Crown Bar, is a pub in Great Victoria Street in Belfast, Northern Ireland."                       ,https://media-cdn.sygictraveldata.com/media/poi:47858   ,"going_out,sightseeing"
poi:47857      ,0.02865004443392  ,54.5811162,-5.9316869,Botanic Gardens                                  ,hiking:park:nature                     ,"Botanic Gardens is a public garden in Belfast, Northern Ireland."                                                                            ,https://media-cdn.sygictraveldata.com/media/poi:47857   ,"hiking,relaxing,discovering"
poi:47859      ,0.02762001038362  ,54.5953762,-5.934782 ,Grand Opera House                                ,going_out:opera                        ,"The Grand Opera House is a theatre in Belfast, Northern Ireland, designed by the most prolific theatre architect of the period, Frank…"      ,https://media-cdn.sygictraveldata.com/media/poi:47859   ,"going_out,sightseeing"
poi:8278       ,0.02577677111981  ,55.0212813,-7.9847115,Glenveagh National Park                          ,hiking:park:national                   ,Glenveagh is the second largest national park in Ireland. National parks in Ireland conform to IUCN standards.                                ,https://media-cdn.sygictraveldata.com/media/poi:8278    ,hiking
poi:55999      ,0.025717735497327 ,54.9942412,-7.3208558,Walled City                                      ,sightseeing:city_wall                  ,"Built in early 17th century, these these fortifications are the youngest between European city walls and therefore today the most complete." ,https://media-cdn.sygictraveldata.com/media/poi:55999   ,sightseeing
poi:56004      ,0.024257508840381 ,54.7134248,-5.8062477,Carrickfergus Castle                             ,discovering:museum                     ,"Visit this Norman castle dating back to the 12th century, and marvel at its rather well preserved medieval structure, marked by a long…"     ,https://media-cdn.sygictraveldata.com/media/poi:56004   ,"discovering,hiking,sightseeing"
poi:7612       ,0.022508698855456 ,54.166667 ,-6.083333 ,Mourne Mountains                                 ,hiking:mountains                       ,"The Mourne Mountains, also called the Mournes or Mountains of Mourne, are a granite mountain range in County Down in the south-east of…"     ,https://media-cdn.sygictraveldata.com/media/poi:7612    ,"hiking,sightseeing"
poi:16142      ,0.020623854089508 ,54.3729686,-5.5787741,Castle Ward                                      ,sightseeing:castle                     ,Learn about life in the Victorian era at this splendorous mansion. Note how Gothic clashes with Classical style here.                         ,https://media-cdn.sygictraveldata.com/media/poi:16142   ,"hiking,sightseeing"
poi:56002      ,0.0205161491359   ,54.966179 ,-5.956241 ,Glenarm Castle                                   ,relaxing:park:garden                   ,"First built in 1636, this beautiful castle is the home of Viscount and Viscountess Dunluce and their family, and thus it is open to the…"    ,https://media-cdn.sygictraveldata.com/media/poi:56002   ,"hiking,sightseeing,relaxing"
poi:7659       ,0.019279392819556 ,54.5822855,-5.9353252,Ulster Museum                                    ,discovering:museum                     ,"A large museum, with collection raging from arts to sciences. Prefers a hands-on approach - entertaining for both adults and children."      ,https://media-cdn.sygictraveldata.com/media/poi:7659    ,discovering
poi:7698       ,0.019075503248117 ,54.1802564,-5.9207109,Slieve Donard                                    ,hiking:park:nature                     ,"Slieve Donard is the highest mountain in Northern Ireland and the wider province of Ulster, with a height of 850 metres."                    ,https://media-cdn.sygictraveldata.com/media/poi:7698    ,hiking
poi:5692309    ,0.018178534091662 ,55.0238248,-7.427699 ,Grianan of Aileach                               ,sightseeing:archaeological_site        ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:5692309 ,sightseeing
poi:3167858    ,0.017749125233588 ,54.7810549,-5.7080941,Gobbins Visitor Centre                           ,sightseeing                            ,"The Gobbins is a cliff-face path at Islandmagee, County Antrim, Northern Ireland, on the Causeway Coastal Route."                            ,https://media-cdn.sygictraveldata.com/media/poi:3167858 ,sightseeing
poi:7815       ,0.017190151251399 ,54.2585692,-7.8130913,Marble Arch Caves                                ,hiking:cave                            ,"The Marble Arch Caves are a series of natural limestone caves located near the village of Florencecourt in County Fermanagh, Northern…"      ,https://media-cdn.sygictraveldata.com/media/poi:7815    ,"hiking,sightseeing"
poi:56000      ,0.016388206813766 ,55.1258273,-6.0416651,Cushendun                                        ,destination:village                    ,"Cushendun is a small coastal village in County Antrim, Northern Ireland. It sits off the A2 coast road between Cushendall and Ballycastle."  ,https://media-cdn.sygictraveldata.com/media/poi:56000   ,"relaxing,sightseeing"
poi:3374577    ,0.016107190662892 ,55.2383854,-6.4479454,Dunseverick Castle                               ,sightseeing:castle:ruins               ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3374577 ,"hiking,sightseeing"
poi:56010      ,0.015116237657311 ,54.6063532,-5.9111461,SS Nomadic                                       ,discovering:museum                     ,"This steamship is not only old more than a hundred years, but it is also the last White Star Line ship in the world."                        ,https://media-cdn.sygictraveldata.com/media/poi:56010   ,"discovering,sightseeing"
poi:3652586    ,0.014881600960455 ,54.8813871,-6.0973573,Slemish                                          ,hiking:mountains:peak                  ,"Slemish, historically called Slieve Mish, is a small mountain in County Antrim, Northern Ireland."                                           ,https://media-cdn.sygictraveldata.com/media/poi:3652586 ,"hiking,sightseeing"
poi:56012      ,0.014798159500867 ,54.60469  ,-5.832297 ,"Parliament Buildings, Stormont"                 ,sightseeing                            ,"Parliament Buildings, often referred to as Stormont because of its location in the Stormont Estate area of Belfast, is the seat of the…"     ,https://media-cdn.sygictraveldata.com/media/poi:56012   ,sightseeing
poi:15289145   ,0.014589161306721 ,55.2293931,-6.2912799,Kinbane Castle                                   ,sightseeing:ruins                      ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:15289145,"hiking,sightseeing"
poi:3668139    ,0.014536525815623 ,54.7669043,-5.6889689,Blackhead Lighthouse                             ,sightseeing:lighthouse                 ,"Blackhead Lighthouse is a listed lighthouse built at the turn of the 20th century, near Whitehead in County Antrim, Northern Ireland."       ,https://media-cdn.sygictraveldata.com/media/poi:3668139 ,sightseeing
poi:10484737   ,0.013888606811581 ,55.0362032,-7.9685937,Glenveagh Castle                                 ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:10484737,"hiking,sightseeing"
poi:18695039   ,0.013849866199127 ,54.6135388,-5.9027993,HMS Caroline                                     ,sightseeing:ship                       ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:18695039,sightseeing
poi:3815925    ,0.013480769230769 ,54.8254699,-7.4632849,Gray's Printing Press                            ,sightseeing:monument                   ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3815925 ,sightseeing
poi:21635351   ,0.012242160812378 ,54.5961232,-5.9309131,Cenotaph                                         ,sightseeing:memorial:war               ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:21635351,sightseeing
poi:8287       ,0.012065964858384 ,54.6092372,-7.8717917,Saint Patrick's Basilica                         ,other:place_of_worship                 ,"St Patrick's Purgatory is an ancient pilgrimage site on Station Island in Lough Derg, County Donegal, Ireland."                              ,https://media-cdn.sygictraveldata.com/media/poi:8287    ,sightseeing
poi:3932590    ,0.011528846153846 ,54.2964313,-7.6413172,Sheelin Lace Museum                              ,discovering:museum                     ,                                                                                                                                              ,                                                        ,"discovering,sightseeing"
poi:20490923   ,0.011437462985851 ,55.124288 ,-6.037223 ,Caves of Cushendun                               ,hiking:cave                            ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:20490923,sightseeing
poi:17548026   ,0.011258485356025 ,54.3462287,-7.6445328,Enniskillen Castle                               ,sightseeing:castle                     ,"Enniskillen Castle is situated in Enniskillen, County Fermanagh, Northern Ireland."                                                          ,https://media-cdn.sygictraveldata.com/media/poi:17548026,"hiking,sightseeing"
poi:56796      ,0.011141538347559 ,54.2626302,-5.8453874,Dundrum Castle                                   ,sightseeing:castle                     ,"Dundrum Castle is a castle, situated above the town of Dundrum, County Down, Northern Ireland, not to be confused with Dundrum Castle in…"   ,https://media-cdn.sygictraveldata.com/media/poi:56796   ,"hiking,sightseeing"
poi:3728593    ,0.011117716303708 ,54.9003967,-5.8516977,Polar Bear                                       ,sightseeing                            ,                                                                                                                                              ,                                                        ,sightseeing
poi:3889854    ,0.011086350152902 ,54.1111853,-6.279721 ,Narrow Water Keep                                ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3889854 ,"hiking,sightseeing"
poi:56199      ,0.011061771410218 ,54.5974004,-5.9199198,Waterfront Hall                                  ,sightseeing:architecture:modern        ,"Belfast Waterfront is a multi-purpose conference and entertainment centre, in Belfast, Northern Ireland, designed by local architects' firm…",https://media-cdn.sygictraveldata.com/media/poi:56199   ,"sightseeing,going_out"
poi:56024      ,0.010638963512599 ,54.6011823,-5.9213734,Lagan Weir                                       ,sightseeing                            ,"The Lagan Weir, completed in 1994 at a cost of £14m, is located in Belfast, Northern Ireland and crosses the River Lagan between the Queen…" ,https://media-cdn.sygictraveldata.com/media/poi:56024   ,sightseeing
poi:56027      ,0.010442900581223 ,54.5402583,-5.9501665,Giants Ring                                      ,hiking:park:nature                     ,"The Giant's Ring is a henge monument at Ballynahatty, near Shaw's Bridge, Belfast, Northern Ireland."                                        ,https://media-cdn.sygictraveldata.com/media/poi:56027   ,"hiking,sightseeing"
poi:8016       ,0.010381314190102 ,54.6566956,-5.9432235,Belfast Zoo                                      ,discovering:zoo                        ,"Belfast Zoological Gardens is a zoo in Belfast, Northern Ireland. It is located in a relatively secluded location on the northeastern slope…",https://media-cdn.sygictraveldata.com/media/poi:8016    ,"hiking,discovering,playing"
poi:56001      ,0.010224183896587 ,55.0194326,-6.1173499,Glenariff Forest Park                            ,sleeping:camp_site                     ,"Glenariff Forest Park is an 1185 hectare forest in County Antrim, Northern Ireland. It is part of Glenariff glen itself."                    ,https://media-cdn.sygictraveldata.com/media/poi:56001   ,"hiking,sleeping"
poi:56005      ,0.0099612535521549,54.3477796,-6.6561846,Saint Patrick's Cathedral (Church of Ireland)    ,other:place_of_worship:church          ,"St Patrick's Cathedral, Armagh is the seat of the Archbishop of Armagh in the Church of Ireland. It is located in Armagh, Northern Ireland." ,https://media-cdn.sygictraveldata.com/media/poi:56005   ,sightseeing
poi:55994      ,0.0095106889354277,55.2198043,-6.5426003,Portballintrae Beach                             ,relaxing:beach:sandy                   ,"Portballintrae is a small seaside village in County Antrim, Northern Ireland."                                                               ,https://media-cdn.sygictraveldata.com/media/poi:55994   ,"relaxing,hiking"
poi:64244      ,0.0093190747123733,54.9939151,-7.3230308,Saint Columb's Cathedral                         ,other:place_of_worship:church:cathedral,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:64244   ,sightseeing
poi:3808289    ,0.0092894384885272,54.6037452,-5.9142551,SSE Arena                                        ,sightseeing                            ,"The SSE Arena is a sports and entertainment complex located within the Titanic Quarter in Belfast, Northern Ireland."                        ,https://media-cdn.sygictraveldata.com/media/poi:3808289 ,sightseeing
