sygic_travel_id,rating            ,lat       ,lng       ,name                                             ,marker                                 ,perex                                                                                                                                         ,thumbnail_url                                           ,categories
poi:25715761   ,0.009184917832771 ,54.6136524,-6.4178304,Lough Neagh                                      ,sightseeing:ruins                      ,"Lough Neagh is a large freshwater lake in Northern Ireland. It is the largest lake by area in the British Isles, with a surface area of 151…",https://media-cdn.sygictraveldata.com/media/poi:25715761,hiking
poi:56033      ,0.0089912642746528,54.2644415,-5.9555315,Castlewellan Castle                              ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:56033   ,"hiking,sightseeing"
poi:7769       ,0.0086824370475377,54.555    ,-5.608    ,Mount Stewart                                    ,sightseeing                            ,"Mount Stewart is a 19th-century house and garden in County Down, Northern Ireland, owned by the National Trust."                             ,https://media-cdn.sygictraveldata.com/media/poi:7769    ,sightseeing
poi:3331524    ,0.0085822533054815,54.4580531,-7.8053766,Tully Castle                                     ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3331524 ,"hiking,sightseeing"
poi:56029      ,0.0083193829495584,54.4612894,-6.0859311,Hillsborough Castle                              ,discovering:museum                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:56029   ,"discovering,hiking,sightseeing"
poi:3731775    ,0.0081397731884623,54.2907319,-5.7258859,Ballynoe Stone Circle                            ,hiking:megalith                        ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3731775 ,sightseeing
poi:64242      ,0.0074248332097262,54.9957518,-7.3268509,Free Derry Corner                                ,sightseeing:monument                   ,"Free Derry Corner is a historical landmark in the Bogside neighbourhood of Derry, Northern Ireland, which lies in the intersection of the…"  ,https://media-cdn.sygictraveldata.com/media/poi:64242   ,sightseeing
poi:64243      ,0.0073392572428991,54.9973349,-7.3208566,Tower Museum                                     ,discovering:museum                     ,"The Tower Museum is a museum on local history in Derry, County Londonderry, Northern Ireland."                                               ,https://media-cdn.sygictraveldata.com/media/poi:64243   ,"discovering,sightseeing"
poi:18438152   ,0.0071680459739418,54.7274907,-6.2679222,Shane's Castle                                   ,sightseeing:castle:ruins               ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:18438152,"sightseeing,hiking"
poi:3837731    ,0.0071385960254253,54.3795542,-5.5720534,Audley's Castle                                  ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3837731 ,"hiking,sightseeing"
poi:3211940    ,0.0071153579980428,55.2333883,-6.5167174,Giants Causeway Information Centre               ,sightseeing                            ,                                                                                                                                              ,                                                        ,sightseeing
poi:56006      ,0.0069533137373677,54.3526338,-6.6590293,Saint Patrick's Cathedral (Roman Catholic)       ,other:place_of_worship:church:cathedral,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:56006   ,sightseeing
poi:7589       ,0.0069509517097645,54.6540999,-5.8018093,Ulster Folk & Transport Museum                   ,discovering:museum                     ,"The Ulster Folk and Transport Museum is situated in Cultra, Northern Ireland, about 11 kilometres east of the city of Belfast."              ,https://media-cdn.sygictraveldata.com/media/poi:7589    ,discovering
poi:56795      ,0.0069343412601787,54.3276457,-5.7214898,Down Cathedral                                   ,sightseeing                            ,"Down Cathedral, the Cathedral Church of the Holy and Undivided Trinity, is a Church of Ireland cathedral located in the town of Downpatrick…",https://media-cdn.sygictraveldata.com/media/poi:56795   ,sightseeing
poi:56038      ,0.0068248167903416,54.7015828,-6.9367032,Beaghmore Stone Circles                          ,sightseeing:archaeological_site        ,"Beaghmore is a complex of early Bronze Age megalithic features, stone circles and cairns, 8.5 miles north west of Cookstown, County Tyrone…" ,https://media-cdn.sygictraveldata.com/media/poi:56038   ,"hiking,sightseeing"
poi:7660       ,0.0066854521617491,54.348008 ,-6.6981726,Navan Fort                                       ,sightseeing:archaeological_site        ,"The mysterious hill, featured in many legends, had been a place of worship in Pre-Christian times. The site's museum is not to be missed."   ,https://media-cdn.sygictraveldata.com/media/poi:7660    ,"hiking,sightseeing"
poi:19247357   ,0.0064944552727664,54.5953522,-5.935319 ,Grand Opera House                                ,sightseeing:architecture               ,"The Grand Opera House is a theatre in Belfast, Northern Ireland, designed by the most prolific theatre architect of the period, Frank…"      ,                                                        ,"going_out,sightseeing"
poi:56030      ,0.0064938845942979,54.3272957,-5.7220483,St. Patricks Grave                               ,sightseeing:memorial                   ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:56030   ,sightseeing
poi:25473309   ,0.0064908137332956,55.0673941,-6.0550855,Red Bay Castle                                   ,sightseeing:archaeological_site        ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:25473309,sightseeing
poi:27270520   ,0.0061979556478488,55.1350473,-7.8641447,Doe Castle                                       ,sightseeing:castle                     ,"Doe Castle, or Caisleán na dTuath, near Creeslough, County Donegal, was the historical stronghold of Clan tSuibhne, with architectural…"     ,https://media-cdn.sygictraveldata.com/media/poi:27270520,"hiking,sightseeing"
poi:3818716    ,0.0061595900927836,54.9248137,-6.9211816,Dungiven Castle                                  ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3818716 ,"hiking,sightseeing"
poi:3879977    ,0.0061561689697223,55.1924504,-6.9633377,Martello tower                                   ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3879977 ,"hiking,sightseeing"
poi:21725444   ,0.00601748872843  ,54.7134685,-5.8062979,Carrickfergus Castle                             ,sightseeing:fort                       ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:21725444,"hiking,sightseeing"
poi:64144      ,0.0060160331869425,55.000058 ,-7.3282447,Saint Eugene's Cathedral                         ,other:place_of_worship:church:cathedral,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:64144   ,sightseeing
poi:3923062    ,0.0059284356299462,54.1624412,-7.4439774,Old Crom Castle (Ruins)                          ,sightseeing:ruins                      ,"Crom Castle is situated on the shores of the Upper Lough Erne in County Fermanagh, Northern Ireland, and set within a 1,900-acre estate."    ,https://media-cdn.sygictraveldata.com/media/poi:3923062 ,"hiking,sightseeing"
poi:15037913   ,0.0057007183713397,55.1643285,-6.810544 ,Downhill House                                   ,other:building:manor_house             ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:15037913,sightseeing
poi:19788511   ,0.0055954854176987,54.4025245,-5.6543365,Killyleagh Castle                                ,sightseeing:castle                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:19788511,"hiking,sightseeing"
poi:55998      ,0.0054653359442206,55.159972 ,-6.806522 ,Downhill Demesne and Hezlett House               ,hiking                                 ,"Hezlett House is a 17th-century thatched cottage located in Castlerock, County Londonderry."                                                 ,https://media-cdn.sygictraveldata.com/media/poi:55998   ,"hiking,sightseeing"
poi:3650070    ,0.0054300542431527,54.9966682,-7.3254895,Bloody Sunday Monument                           ,sightseeing                            ,                                                                                                                                              ,                                                        ,sightseeing
poi:27506400   ,0.0053743368700265,54.3461182,-7.6451656,Enniskillen Castle                               ,sightseeing:castle                     ,"Enniskillen Castle is situated in Enniskillen, County Fermanagh, Northern Ireland."                                                          ,https://media-cdn.sygictraveldata.com/media/poi:27506400,"hiking,sightseeing"
poi:7766       ,0.0052683560028187,54.598855 ,-5.951648 ,Irish Republican History Museum                  ,discovering:museum                     ,"The Eileen Hickey Irish Republican History Museum,  is a museum in Belfast, Northern Ireland."                                               ,                                                        ,discovering
poi:3842565    ,0.0052019230769231,54.346431 ,-7.6406757,St. Macartin's Cathedral (Enniskillen Parish CoI),other:place_of_worship:church:cathedral,"St. Macartin's Cathedral, Enniskillen, is one of two cathedral churches in the Diocese of Clogher in the Church of Ireland."                 ,https://media-cdn.sygictraveldata.com/media/poi:3842565 ,sightseeing
poi:25441716   ,0.0051978628246814,54.2921042,-5.8366424,Clough Castle                                    ,sightseeing:castle                     ,"Clough Castle is the site of an Anglo-Norman motte-and-bailey situated in Clough, County Down, Northern Ireland, near the junction of the…"  ,https://media-cdn.sygictraveldata.com/media/poi:25441716,"hiking,sightseeing"
poi:31255774   ,0.0051130636604775,54.899253 ,-5.8612364,Ballygally Castle                                ,sightseeing:castle                     ,"Ballygally Castle is in the village of Ballygally, County Antrim, Northern Ireland, located approximately three miles north of Larne."       ,https://media-cdn.sygictraveldata.com/media/poi:31255774,"hiking,sightseeing"
poi:25451406   ,0.0051017089785275,54.2592466,-5.6065534,Jordan's Castle                                  ,sightseeing:castle:ruins               ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:25451406,"hiking,sightseeing"
poi:8336005    ,0.0050697533839617,55.2324684,-7.498153 ,Gap of Marmore                                   ,sightseeing                            ,                                                                                                                                              ,                                                        ,sightseeing
poi:3236563    ,0.0050384526660143,54.9970431,-7.3257594,Free Derry Museum                                ,discovering:museum                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3236563 ,discovering
poi:36173652   ,0.0050344827586207,54.5847239,-5.941621 ,Architecture                                     ,sightseeing:architecture               ,                                                                                                                                              ,                                                        ,sightseeing
poi:27997160   ,0.0050275198938992,55.0106241,-7.3019397,Lough Foyle                                      ,other:water:river                      ,"Lough Foyle, sometimes Loch Foyle, is the estuary of the River Foyle, on the north coast of Ireland."                                        ,https://media-cdn.sygictraveldata.com/media/poi:27997160,hiking
poi:64249      ,0.0050043747453253,54.9939544,-7.3221929,Siege Heroes Memorial                            ,sightseeing:monument                   ,"Erected in 1927, the Diamond War Memorial is located on The Diamond in the centre of Derry, County Londonderry, Northern Ireland."           ,https://media-cdn.sygictraveldata.com/media/poi:64249   ,sightseeing
poi:31083974   ,0.0049824270557029,54.2921402,-5.836625 ,Clough Castle                                    ,sightseeing:castle                     ,"Clough Castle is the site of an Anglo-Norman motte-and-bailey situated in Clough, County Down, Northern Ireland, near the junction of the…"  ,https://media-cdn.sygictraveldata.com/media/poi:31083974,"hiking,sightseeing"
poi:3345659    ,0.004911237184301 ,54.136299 ,-6.4712944,Ballykeel Dolmen                                 ,sightseeing:monument                   ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3345659 ,sightseeing
poi:20491081   ,0.0046163139184673,55.0816239,-6.0629813,The Glens of Antrim                              ,hiking:valley                          ,"The Glens of Antrim, known locally as simply The Glens, is a region of County Antrim, Northern Ireland."                                     ,https://media-cdn.sygictraveldata.com/media/poi:20491081,"hiking,sightseeing"
poi:3282980    ,0.0044532922705352,54.5843705,-7.6900794,Drumskinny Stone Circle                          ,sightseeing:archaeological_site        ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3282980 ,sightseeing
poi:56200      ,0.0044125956444968,55.1421201,-7.2755671,Doagh Famine Village                             ,sightseeing                            ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:56200   ,sightseeing
poi:56017      ,0.0043528602798026,54.604647 ,-5.9150058,W5                                               ,discovering:museum                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:56017   ,discovering
poi:7768       ,0.0043196393806311,54.5925629,-5.9292653,Ormeau Baths                                     ,discovering:museum                     ,"One of England's prime contemporary art galleries, with exhibitions by the most famous artists."                                             ,https://media-cdn.sygictraveldata.com/media/poi:7768    ,discovering
poi:7588       ,0.0043047833567257,54.6594181,-7.3345093,Ulster American Folk Park                        ,discovering:museum                     ,Explores the fascinating collection between Ireland and America. The open-air museum provides an experience that is hard to forget.           ,https://media-cdn.sygictraveldata.com/media/poi:7588    ,discovering
poi:3290652    ,0.0040384526660143,54.3542648,-6.416559 ,Tayto Castle                                     ,sightseeing:castle                     ,                                                                                                                                              ,                                                        ,"hiking,sightseeing"
poi:3779344    ,0.0038388701498619,54.3778059,-5.5969746,Audleystown Court Cairn                          ,sightseeing:archaeological_site        ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3779344 ,sightseeing
poi:3878850    ,0.0038339181418934,54.6036015,-5.9275524,The MAC                                          ,discovering:gallery:art                ,                                                                                                                                              ,                                                        ,"discovering,going_out"
poi:22154332   ,0.0037556366047745,54.4486201,-7.1576731,Knockmany                                        ,hiking:megalith                        ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:22154332,sightseeing
poi:21105878   ,0.0036055165831679,54.842783 ,-5.8007861,Olderfleet Castle (ruins)                        ,sightseeing:ruins                      ,                                                                                                                                              ,                                                        ,"hiking,sightseeing"
poi:16268663   ,0.0035288461538462,54.3485586,-6.6571754,Armagh Robinson Library                          ,discovering:museum                     ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:16268663,"discovering,sightseeing"
poi:12726249   ,0.0035060240963855,55.1396336,-7.4640629,Buncrana Castle                                  ,sightseeing:castle                     ,                                                                                                                                              ,                                                        ,"hiking,sightseeing"
poi:3989786    ,0.0034708652148323,54.9936119,-7.3231532,Wall of Derry                                    ,sightseeing:city_wall                  ,                                                                                                                                              ,https://media-cdn.sygictraveldata.com/media/poi:3989786 ,sightseeing
poi:4010972    ,0.0030384526660143,55.2050234,-6.2308114,Ballycastle Beach                                ,relaxing:beach:sandy                   ,                                                                                                                                              ,                                                        ,"relaxing,hiking"
poi:3858543    ,0.0030344827586207,54.5960807,-5.9338025,Spires Centre                                    ,other:building:hall:exhibition         ,                                                                                                                                              ,                                                        ,"shopping,discovering"
poi:36148955   ,0.0029824270557029,54.8780002,-7.2504808,Altinaghree Castle                               ,sightseeing:castle                     ,"Altinaghree Castle or Liscloon House, known locally as Ogilby's Castle, is a large, derelict castle situated outside Donemana, County…"      ,                                                        ,"hiking,sightseeing"
